Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90)
1.311653618360421e-09,0.13079272864786057,0.46346346346346345,0.0,0.0,0.0,0.073049733063496,0.0,2.275097816331535e-05,2.8934414846912707e-09,1.5737576464992314e-10,4.2410933970612345e-07,5.02515720928078e-09,1.1316035448685765e-05,8.835268645963416e-12,0.0,0.46346349373314255,4.40258198170815e-06,8.345363066476267e-06,1.9388202545347795e-05,3.1127985247273982e-06,2.826067249411882e-08,1.008560750651834e-08,4.202275573543151e-08,5.987547047683502e-13,3.994541986687023e-10,2.069515572907728e-15
1.3335760132016887e-09,0.13079285665080848,0.46346346346346345,0.0,0.0,0.0,0.07304934177344705,0.0,2.3329701306853976e-05,2.9949641329261884e-09,1.6147271450196397e-10,4.3340779573337183e-07,5.227664679198371e-09,1.1554129311685627e-05,9.070880644534952e-12,0.0,0.4634634953287678,4.5482460376318814e-06,8.40630237966938e-06,1.9719158352093728e-05,3.115144373270378e-06,2.882346417749701e-08,1.0296521654150179e-08,4.3312383875195705e-08,6.171306768581968e-13,4.1741747118925084e-10,2.162581209548962e-15
1.3554984080429563e-09,0.1307929851794627,0.46346346346346345,0.0,0.0,0.0,0.07304895042439873,0.0,2.3912391744490875e-05,3.0982669434286073e-09,1.6561730376874746e-10,4.427335635308472e-07,5.434443447218777e-09,1.179241856399911e-05,9.308347628681976e-12,0.0,0.46346349697962747,4.6961896044311576e-06,8.465774364072708e-06,2.0049247880839357e-05,3.1173318024634813e-06,2.9395047971747247e-08,1.0511101273273223e-08,4.462876295386405e-08,6.358878500384463e-13,4.3592757746595167e-10,2.2584799383757022e-15
1.377420802884224e-09,0.13079311422693146,0.46346346346346345,0.0,0.0,0.0,0.07304855901543288,0.0,2.4498996388152597e-05,3.2033482629487117e-09,1.69810137118869e-10,4.5208657400987755e-07,5.645499835978683e-09,1.2030892086417122e-05,9.547642738145009e-12,0.0,0.4634634986866418,4.846405144984228e-06,8.52381431674464e-06,2.0378442044701137e-05,3.1193731285533536e-06,2.997554429419618e-08,1.0729341524010804e-08,4.5972351717142515e-08,6.550327617695115e-13,4.5499578759078895e-10,2.3572701487040882e-15
1.3993431977254916e-09,0.13079324378653032,0.46346346346346345,0.0,0.0,0.0,0.0730481675456345,0.0,2.5089463699097718e-05,3.3102063167876206e-09,1.7405182594309635e-10,4.614667937824858e-07,5.8608400265430345e-09,1.226953966074316e-05,9.788739805821221e-12,0.0,0.4634635004507277,4.998884954949368e-06,8.580456685654217e-06,2.070671280729643e-05,3.1212797393580463e-06,3.056506738226015e-08,1.095123682632211e-08,4.7343608050610084e-08,6.745719372854746e-13,4.746335625035253e-10,2.4590112186218216e-15
1.443187987408027e-09,0.1307935044163537,0.46346346346346345,0.0,0.0,0.0,0.0730473844198965,0.0,2.628178744699491e-05,3.5292449485821926e-09,1.8268424435971366e-10,4.80308891285044e-07,6.304395915168441e-09,1.2747320206928435e-05,1.0276238462325297e-11,0.0,0.4634635041537688,5.310605759740519e-06,8.689682339443436e-06,2.1360377071660007e-05,3.1247301262888646e-06,3.177162111591502e-08,1.1405966868744002e-08,5.0170950146664605e-08,7.148591120234747e-13,5.156646019086858e-10,2.6715883790215817e-15
1.482648298122309e-09,0.13079374067149085,0.46346346346346345,0.0,0.0,0.0,0.07304667938957328,0.0,2.736760107775488e-05,3.732436018280504e-09,1.9062674938162034e-10,4.973601433602873e-07,6.718306430674921e-09,1.3177831599045835e-05,1.0720900746402647e-11,0.0,0.46346350769083133,5.598817748973013e-06,8.783534600110191e-06,2.194525615921718e-05,3.1274723456164715e-06,3.2889417638551545e-08,1.1827654838753882e-08,5.2814753942827004e-08,7.525311184003612e-13,5.546593161538658e-10,2.8736156035095944e-15
1.522108608836591e-09,0.13079397849033295,0.46346346346346345,0.0,0.0,0.0,0.07304597414807458,0.0,2.8465191014533603e-05,3.941351029472675e-09,1.987372791989016e-10,5.145004114123783e-07,7.146187584691597e-09,1.3608782513920805e-05,1.1171023504422865e-11,0.0,0.46346351142693176,5.894239039128727e-06,8.873357723637494e-06,2.252675255874301e-05,3.1299196272306924e-06,3.40379760763446e-08,1.2261069717234648e-08,5.5555273425760914e-08,7.915813333415109e-13,5.956863331241128e-10,3.086171991675169e-15
1.561568919550873e-09,0.13079421784017015,0.46346346346346345,0.0,0.0,0.0,0.07304526869018688,0.0,2.9574303188306307e-05,4.155975817711474e-09,2.0701954511021126e-10,5.317304905787172e-07,7.588072029196617e-09,1.4040138070833864e-05,1.1626476075848917e-11,0.0,0.4634635153673064,6.196819308264538e-06,8.959324489134002e-06,2.310473724685962e-05,3.1321129136783105e-06,3.521776476779532e-08,1.2706158165721173e-08,5.8395137265888084e-08,8.320472186467821e-13,6.388193274945197e-10,3.3096392455624787e-15
1.601029230265155e-09,0.13079445868963338,0.46346346346346345,0.0,0.0,0.0,0.0730445630107344,0.0,3.069469459819285e-05,4.376295276783711e-09,2.1547727647197118e-10,5.490513877892863e-07,8.043991854245791e-09,1.4471868614953433e-05,1.208713333779818e-11,0.0,0.4634635195171554,6.506506871402595e-06,9.041600265910945e-06,2.3679090190684407e-05,3.134087757464452e-06,3.642920184976482e-08,1.3162862181468354e-08,6.133695931543764e-08,8.739660252848075e-13,6.841339333800862e-10,3.5444092189686264e-15
1.6404895409794369e-09,0.13079470100881094,0.46346346346346345,0.0,0.0,0.0,0.07304385710458004,0.0,3.182613241292864e-05,4.6022934271683995e-09,2.2411421203820085e-10,5.664642944524454e-07,8.513978737490026e-09,1.4903949024282082e-05,1.2552875381844058e-11,0.0,0.46346352388164264,6.82324876906495e-06,9.12034333154257e-06,2.4249699918291813e-05,3.1358750336506084e-06,3.767265822501589e-08,1.3631119566109429e-08,6.438333759449132e-08,9.173747789446972e-13,7.317077315915899e-10,3.790883851417675e-15
1.6799498516937188e-09,0.13079494476897272,0.46346346346346345,0.0,0.0,0.0,0.07304315096662625,0.0,3.2968393172528836e-05,4.833953480744906e-09,2.329340924435681e-10,5.839705625231073e-07,8.998064073058939e-09,1.533635810849046e-05,1.302358721842716e-11,0.0,0.46346352846589406,7.146990853514095e-06,9.195705176100736e-06,2.4816463108404053e-05,3.137501557697622e-06,3.894846035437484e-08,1.4110864327868196e-08,6.75368533785398e-08,9.62310267034153e-13,7.816202361574614e-10,4.0494750983319905e-15
1.7194101624080008e-09,0.13079518994257042,0.46346346346346345,0.0,0.0,0.0,0.0730424445918157,0.0,3.412126207673254e-05,5.071257902015712e-09,2.419406536647777e-10,6.015716834908084e-07,9.49627908271052e-09,1.576907808673592e-05,1.3499158505547788e-11,0.0,0.4634635332749967,7.477677872605399e-06,9.26783079343822e-06,2.5379284198087395e-05,3.1389906218726634e-06,4.025689288806663e-08,1.4602027029325653e-08,7.08000703740217e-08,1.0088090269308288e-12,8.339528801911487e-10,4.3206048578127884e-15
1.7588704731222827e-09,0.13079543650310618,0.46346346346346345,0.0,0.0,0.0,0.07304173797513207,0.0,3.528453235293177e-05,5.3141884659164995e-09,2.5113762138246967e-10,6.192692700333672e-07,1.0008654910849835e-08,1.6202094137278198e-05,1.3979483300029708e-11,0.0,0.4634635383139983,7.815253551088053e-06,9.33685895972216e-06,2.593807500816821e-05,3.1403624576424666e-06,4.159820114165907e-08,1.5104535088540654e-08,7.417553397409655e-08,1.0569073353766862e-12,8.887890011440324e-10,4.604704894236723e-15
1.7983307838365647e-09,0.13079568442507422,0.46346346346346345,0.0,0.0,0.0,0.07304103111160076,0.0,3.645800469084545e-05,5.562726312453485e-09,2.6052870609246395e-10,6.370650398964479e-07,1.0535222706172097e-08,1.6635394006611184e-05,1.4464459828208399e-11,0.0,0.46346354358790576,8.1596606692494e-06,9.402922500009015e-06,2.6492754385261155e-05,3.141634636729135e-06,4.2972593430071506e-08,1.5618313045987138e-08,7.766577058086599e-08,1.106641198819327e-12,9.462138255223827e-10,4.902216759075796e-15
